Transcript	GO.IDs
TR107626|c1_g1_i1	
TR141909|c0_g1_i1	
TR141946|c0_g1_i1	
TR141946|c0_g1_i2	
TR141951|c0_g1_i1	
TR141972|c0_g1_i1	
TR141972|c0_g1_i2	
TR141984|c1_g1_i1	
TR142040|c0_g1_i1	
TR142386|c0_g1_i1	
TR142516|c0_g1_i1	GO:0016021
TR142855|c0_g1_i1	
TR142982|c3_g2_i1	
TR143269|c0_g2_i1	
TR143356|c0_g1_i1	
TR143409|c0_g1_i1	
TR143501|c0_g2_i1	
TR143525|c0_g1_i1	
TR143598|c0_g1_i1	
TR143645|c1_g1_i1	
TR143714|c0_g1_i1	
TR143854|c0_g1_i1	
TR143854|c0_g1_i2	
TR143979|c0_g1_i1	
TR144067|c0_g3_i1	
TR144104|c0_g1_i2	
TR144141|c0_g1_i1	
TR144281|c0_g1_i1	
TR144375|c0_g1_i4	
TR144549|c0_g1_i1	
TR144675|c0_g1_i2	
TR144675|c0_g2_i2	
TR144833|c0_g1_i1	
TR144849|c0_g1_i1	
TR144907|c3_g1_i3	
TR145041|c0_g1_i1	GO:0003674
TR145041|c0_g1_i3	GO:0003674
TR145122|c0_g1_i1	GO:0002119;GO:0003735;GO:0006412;GO:0006915;GO:0008340;GO:0009792;GO:0018996;GO:0022627;GO:0040035
TR145142|c0_g1_i1	
TR145173|c0_g1_i1	
TR145173|c0_g2_i1	
TR145334|c0_g1_i1	
TR145347|c0_g2_i1	
TR145362|c0_g1_i2	
TR145787|c0_g1_i1	GO:0005737;GO:0006914;GO:0032991
TR145876|c0_g1_i2	
TR145962|c0_g1_i1	
TR146133|c0_g1_i1	
TR146300|c0_g1_i1	
TR146391|c0_g1_i1	GO:0005742;GO:0008320;GO:0030150
TR146423|c0_g1_i1	GO:0003674;GO:0006629
TR146436|c0_g2_i1	
TR146467|c0_g1_i1	
TR146487|c0_g1_i1	
TR146487|c0_g1_i2	
TR146898|c0_g1_i2	
TR146950|c0_g1_i1	
TR147138|c0_g1_i1	
TR147347|c0_g2_i1	
TR147356|c0_g1_i2	
TR147409|c1_g2_i1	
TR147446|c0_g1_i1	
TR147446|c0_g2_i1	GO:0003674;GO:0005576;GO:0008150
TR147580|c0_g1_i1	
TR147709|c2_g1_i1	
TR147759|c0_g1_i1	
TR147903|c0_g1_i1	
TR147903|c0_g1_i2	
TR147929|c1_g1_i1	
TR147929|c1_g1_i2	
TR148071|c0_g2_i1	GO:0003674;GO:0005576;GO:0008150
TR148237|c0_g1_i1	
TR148368|c0_g1_i1	
TR148462|c0_g1_i1	
TR148501|c0_g1_i1	
TR148594|c0_g1_i2	GO:0003677;GO:0005654;GO:0009058;GO:0016779;GO:0034641
TR148959|c1_g1_i2	
TR149124|c0_g1_i1	
TR149248|c0_g2_i1	
TR149303|c0_g2_i1	
TR149597|c0_g1_i1	
TR150391|c0_g1_i2	
TR150721|c0_g1_i1	
TR150730|c1_g1_i2	GO:0003707;GO:0004887;GO:0005634;GO:0006355;GO:0008270;GO:0043401;GO:0043565;GO:0051537
TR150750|c1_g1_i3	
TR150770|c3_g1_i1	
TR150803|c0_g1_i1	
TR151148|c1_g1_i1	
TR151148|c2_g1_i1	
TR151503|c0_g1_i1	
TR151505|c0_g1_i1	
TR151680|c0_g2_i2	
TR151746|c0_g1_i1	
TR151846|c0_g1_i1	
TR151881|c0_g1_i2	
TR151881|c0_g1_i3	
TR151901|c1_g1_i1	
TR151941|c0_g1_i1	
TR151951|c0_g1_i1	
TR152038|c0_g1_i1	
TR152205|c0_g1_i1	
TR152440|c0_g1_i1	
TR152585|c0_g3_i1	
TR152625|c0_g1_i1	
TR152627|c0_g1_i1	
TR152714|c0_g2_i1	
TR152714|c0_g2_i2	
TR152767|c0_g1_i1	
TR152780|c0_g1_i1	
TR152815|c0_g1_i1	GO:0003723;GO:0004004;GO:0005524;GO:0005737;GO:0006396;GO:0071013
TR152877|c0_g1_i1	
TR153081|c0_g1_i1	
TR153163|c1_g1_i1	
TR153163|c1_g2_i1	
TR153242|c0_g1_i1	
TR153242|c0_g1_i2	
TR153258|c0_g1_i1	
TR153312|c0_g1_i1	
TR153473|c0_g1_i1	
TR153476|c0_g3_i1	
TR153517|c0_g1_i1	
TR153583|c0_g1_i1	
TR153584|c1_g1_i1	
TR153588|c0_g2_i1	
TR153610|c0_g1_i1	
TR153620|c0_g1_i1	
TR153639|c0_g1_i3	
TR153723|c3_g1_i1	
TR153754|c0_g1_i2	
TR153754|c0_g1_i4	
TR154040|c0_g1_i1	
TR154072|c0_g1_i1	
TR154160|c0_g1_i1	
TR154201|c0_g1_i1	
TR154413|c0_g1_i1	GO:0005524
TR154530|c0_g1_i2	
TR154836|c0_g1_i1	
TR154878|c0_g1_i1	
TR155117|c1_g1_i1	
TR155371|c1_g1_i2	
TR155371|c1_g1_i6	
TR155376|c0_g1_i1	
TR155537|c0_g1_i2	
TR155566|c0_g1_i1	
TR155729|c0_g1_i1	
TR155739|c0_g1_i1	
TR155842|c0_g1_i1	
TR155842|c0_g2_i1	
TR155842|c0_g2_i2	
TR155852|c0_g1_i1	
TR156067|c0_g1_i1	
TR156179|c0_g1_i1	
TR156362|c0_g1_i1	
TR156362|c0_g1_i2	
TR156429|c0_g1_i1	
TR156446|c0_g1_i5	GO:0003677;GO:0003700;GO:0007165;GO:0038023;GO:0046872
TR156535|c0_g1_i1	
TR156539|c0_g1_i2	
